Boards,0,15
D-Sub conn Pin,Card edge conn,Row Address,Row index
2,4,0,6
3,16,3,6
4,T,3,7
5,17,4,0
6,U,4,1
7,18,4,2
8,V,4,3
9,19,4,4
10,W,4,5
11,20,4,6
12,X,4,7
13,21,5,0
14,Y,5,1
15,22,5,2
16,Z,5,3
17,23,5,4
18,AA,5,5
19,24,5,6
20,BB,5,7
21,1,0,0
22,A,0,1
23,2,0,2
24,B,0,3
25,3,0,4
26,C,0,5
28,D,0,7
29,5,1,0
30,E,1,1
31,6,1,2
32,F,1,3
33,7,1,4
34,S,3,5
35,15,3,4
36,R,3,3
37,14,3,2
38,P,3,1
39,13,3,0
40,N,2,7
41,12,2,6
42,M,2,5
43,11,2,4
44,L,2,3
45,10,2,2
46,K,2,1
47,9,2,0
48,J,1,7
49,8,1,6
50,H,1,5
